,index,baud,tprop,fer,infosize,time,R,S,a
71,90,38400,1.0,0.05,1024,29.310781955718998,2993.574178012667,0.07795766088574653,4.6875
72,91,38400,1.0,0.05,2048,18.57434320449829,4723.935540221436,0.12301915469326656,2.34375
73,92,38400,1.0,0.1,256,101.08678317070007,868.0066498093148,0.02260433983878424,18.75
74,93,38400,1.0,0.1,512,53.02160048484802,1654.8727159806238,0.043095643645328745,9.375
75,94,38400,1.0,0.1,1024,31.01140570640564,2829.4105991421025,0.07368256768599225,4.6875
76,95,38400,1.0,0.1,2048,19.57820963859558,4481.717257078784,0.11671138690309334,2.34375
77,96,230400,0.0,0.0,256,3.1896605491638184,27508.883358450923,0.11939619513216547,0.0
78,97,230400,0.0,0.0,512,3.0506632328033447,28762.270137359425,0.12483624191562251,0.0
79,98,230400,0.0,0.0,1024,2.9828038215637207,29416.617802910227,0.1276762925473534,0.0
80,99,230400,0.0,0.0,2048,2.951589345932007,29727.712671456866,0.12902653069208708,0.0
81,100,230400,0.0,0.01,256,3.19063138961792,27500.51299736865,0.1193598654399681,0.0
82,101,230400,0.0,0.01,512,3.051444292068481,28754.908037505418,0.12480428835722837,0.0
83,102,230400,0.0,0.01,1024,2.9828040599823,29416.61545160988,0.12767628234205677,0.0
84,103,230400,0.0,0.01,2048,2.95180606842041,29725.530053860937,0.1290170575254381,0.0
85,104,230400,0.0,0.05,256,3.1902451515197754,27503.842442390465,0.11937431615620862,0.0
86,105,230400,0.0,0.05,512,3.190579891204834,27500.956876797063,0.11936179199998725,0.0
87,106,230400,0.0,0.05,1024,3.255425453186035,26953.15904534883,0.11698419724543764,0.0
88,107,230400,0.0,0.05,2048,2.951854467391968,29725.042670387425,0.12901494214577874,0.0
89,108,230400,0.0,0.1,256,7.334490299224853,11963.203497490922,0.05192362629119324,0.0
90,109,230400,0.0,0.1,512,9.742677450180054,9006.148509861467,0.03908918624071817,0.0
91,111,230400,0.0,0.1,2048,4.9519126415252686,17719.21403948141,0.07690631093524918,0.0
92,112,230400,0.2,0.0,256,22.59271454811096,3883.7298551774306,0.016856466385318708,22.5
93,113,230400,0.2,0.0,512,13.652373313903809,6427.014408596638,0.02789502781508957,11.25
94,114,230400,0.2,0.0,1024,9.183183670043944,9554.856262564563,0.041470730306269805,5.625
95,115,230400,0.2,0.0,2048,7.15226149559021,12268.007825790393,0.05324656174388191,2.8125
96,116,230400,0.2,0.01,256,23.0641930103302,3804.3386109672433,0.016511886332323103,22.5
97,117,230400,0.2,0.01,512,14.19107699394226,6183.040232778333,0.026836112121433737,11.25
98,118,230400,0.2,0.01,1024,9.183509349822998,9554.517413508287,0.04146925960724083,5.625
99,119,230400,0.2,0.01,2048,7.15208911895752,12268.303504136069,0.05324784507003502,2.8125
100,120,230400,0.2,0.05,256,25.536853075027462,3435.9754407564424,0.014913087850505392,22.5
101,121,230400,0.2,0.05,512,14.13738226890564,6206.523833835058,0.02693803747324244,11.25
102,122,230400,0.2,0.05,1024,9.183004140853882,9555.043061522689,0.04147154106563667,5.625
103,123,230400,0.2,0.05,2048,7.565973520278931,11597.185711107959,0.05033500742668385,2.8125
104,124,230400,0.2,0.1,256,26.010743856430054,3373.3752669402807,0.01464138570720608,22.5
105,125,230400,0.2,0.1,512,13.652193546295166,6427.099037415224,0.027895395127670246,11.25
106,126,230400,0.2,0.1,1024,15.791808843612673,5556.298259998879,0.02411587786457847,5.625
107,127,230400,0.2,0.1,2048,10.696758031845093,8202.859197037007,0.03560268748713979,2.8125
108,128,230400,1.0,0.0,256,94.1191771030426,932.2648444316189,0.004046288387290013,112.5
109,129,230400,1.0,0.0,512,50.17782735824585,1748.660805370259,0.007589673634419526,56.25
110,130,230400,1.0,0.0,1024,28.30787491798401,3099.6321784739903,0.013453264663515582,28.125
111,131,230400,1.0,0.0,2048,18.572653770446777,4724.3652460490175,0.020505057491532194,14.0625
112,132,230400,1.0,0.01,256,96.12126278877258,912.8469336989289,0.003962009260846045,112.5
113,133,230400,1.0,0.01,512,50.18032431602478,1748.5737925368387,0.007589295974552252,56.25
114,134,230400,1.0,0.01,1024,28.307795524597168,3099.640871849509,0.013453302395180161,28.125
115,135,230400,1.0,0.01,2048,18.574451208114624,4723.908072270112,0.020503073230339026,14.0625
116,136,230400,1.0,0.05,256,95.11926507949828,922.4629724237859,0.004003745540033793,112.5
117,137,230400,1.0,0.05,512,54.182291984558105,1619.4220802805269,0.007028741667884231,56.25
118,138,230400,1.0,0.05,1024,29.309357166290283,2993.719701942745,0.012993575095237608,28.125
119,139,230400,1.0,0.05,2048,18.575864553451535,4723.548653550906,0.020501513253259142,14.0625
120,141,230400,1.0,0.1,512,54.18268871307373,1619.4102227863098,0.007028690203065581,56.25
121,142,230400,1.0,0.1,1024,28.298773288726807,3100.629101649222,0.013457591587019192,28.125
122,143,230400,1.0,0.1,2048,19.019939661026,4613.263846456744,0.020022846555801842,14.0625
