tprop,fer,infosize,time
0,0.0,256,3.202954053878784
0,0.0,512,3.0507001876831055
0,0.0,1024,2.982435703277588
0,0.0,2048,2.9513967037200928
0,0.01,256,3.334048271179199
0,0.01,512,3.051628351211548
0,0.01,1024,2.9836411476135254
0,0.01,2048,2.951613426208496
0,0.05,256,3.261840581893921
0,0.05,512,3.050654172897339
0,0.05,1024,3.254977226257324
0,0.05,2048,2.951732635498047
0,0.1,256,11.26348090171814
0,0.1,512,3.273876428604126
0,0.1,1024,2.98264479637146
0,0.1,2048,2.951547861099243
200000,0.0,256,22.59242081642151
200000,0.0,512,13.652242183685303
200000,0.0,1024,9.183277606964111
200000,0.0,2048,7.152137279510498
200000,0.01,256,22.591962575912476
200000,0.01,512,13.65224552154541
200000,0.01,1024,9.183148622512817
200000,0.01,2048,7.152114152908325
200000,0.05,256,23.06406307220459
200000,0.05,512,15.652360439300537
200000,0.05,1024,9.854712963104248
200000,0.05,2048,7.7556116580963135
200000,0.1,256,29.06524682044983
200000,0.1,512,16.19118022918701
200000,0.1,1024,13.183616399765015
200000,0.1,2048,9.15209174156189
1000000,0.0,256,94.11969304084778
1000000,0.0,512,50.17947006225586
1000000,0.0,1024,28.309429168701172
1000000,0.0,2048,18.57478952407837
1000000,0.01,256,95.12095761299133
1000000,0.01,512,50.180288314819336
1000000,0.01,1024,28.309374809265137
1000000,0.01,2048,18.57466459274292
1000000,0.05,256,99.02224850654602
1000000,0.05,512,51.16871690750122
1000000,0.05,1024,29.310781955718994
1000000,0.05,2048,18.57434320449829
1000000,0.1,256,101.08678317070007
1000000,0.1,512,53.02160048484802
1000000,0.1,1024,31.01140570640564
1000000,0.1,2048,19.57820963859558
